,host response time,host response rate,host verifications,latitude,longitude,property type,room type,bathrooms,bedrooms,beds,bed type,amenities,security deposit,cleaning fee,guests included,extra people,minimum nights,maximum nights,availability 365,number of reviews,cancellation policy,features,price,average review,final neighbourhood,years being host
40,within an hour,84.0,3,40.40695284792103,-3.670894490597324,Apartment,Private room,2.0,1.0,1.0,Real Bed,7,183.0,30.0,1,5,1,1125,240,171,flexible,3,28.0,20.142857142857142,Retiro,2
41,within a few hours,100.0,3,40.42590392156816,-3.681647459596521,Apartment,Entire home/apt,1.0,0.0,1.0,Real Bed,13,100.0,30.0,1,0,2,1125,15,52,moderate,3,58.0,22.285714285714285,Salamanca,2
42,within an hour,100.0,5,40.42835188930747,-3.687154663105247,Apartment,Entire home/apt,1.0,0.0,2.0,Real Bed,17,150.0,30.0,2,15,2,1125,292,36,flexible,4,70.0,20.571428571428573,Salamanca,1
43,within an hour,100.0,3,40.42745443473121,-3.6857630232322447,Apartment,Private room,1.0,1.0,1.0,Real Bed,11,183.0,30.0,1,0,7,1125,334,15,strict,3,26.0,21.857142857142858,Salamanca,5
44,within an hour,100.0,5,40.42867085768608,-3.685422757124864,Apartment,Entire home/apt,1.0,2.0,3.0,Real Bed,21,183.0,20.0,1,10,2,1125,52,0,moderate,4,70.0,21.257599200162016,Salamanca,4
45,within an hour,100.0,9,40.42177818805071,-3.691065180334564,Other,Entire home/apt,1.0,1.0,1.0,Real Bed,18,183.0,30.0,3,15,2,1125,325,11,strict,5,108.0,21.0,Salamanca,4
46,within an hour,100.0,5,40.42560582409028,-3.683704783138997,Apartment,Entire home/apt,2.5,3.0,3.0,Real Bed,18,300.0,90.0,1,0,5,1125,191,10,strict,5,260.0,22.428571428571427,Salamanca,4
47,within an hour,100.0,3,40.4265496270664,-3.6760962311072474,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,17,183.0,30.0,2,15,4,30,231,72,flexible,5,60.0,22.285714285714285,Salamanca,3
48,within a few hours,90.0,6,40.42483679580143,-3.67292644961305,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,19,100.0,30.0,1,0,5,90,149,2,moderate,4,42.0,14.285714285714286,Salamanca,1
49,within an hour,100.0,4,40.42711543404669,-3.678836496014137,Apartment,Entire home/apt,2.0,2.0,3.0,Real Bed,17,250.0,49.0,4,10,2,1125,251,10,strict,4,160.0,20.428571428571427,Salamanca,2
50,within an hour,100.0,4,40.42239538897504,-3.678079789322028,Loft,Entire home/apt,2.0,2.0,2.0,Real Bed,22,500.0,60.0,3,0,3,1125,271,44,strict,6,185.0,22.428571428571427,Salamanca,2
51,within an hour,98.0,7,40.42326049761048,-3.677039266832216,Apartment,Entire home/apt,1.0,3.0,5.0,Real Bed,18,100.0,25.0,3,15,2,180,77,2,moderate,4,74.0,20.857142857142858,Salamanca,4
52,within a few hours,100.0,3,40.42811810240353,-3.678242168982482,House,Entire home/apt,1.0,1.0,1.0,Real Bed,16,183.0,30.0,1,0,7,1125,316,11,flexible,2,60.0,21.857142857142858,Salamanca,2
53,within a day,73.0,3,40.42268927396864,-3.674151436911256,Apartment,Entire home/apt,1.0,2.0,3.0,Real Bed,12,183.0,30.0,1,0,2,1125,79,12,moderate,3,99.0,22.571428571428573,Salamanca,1
54,within a few hours,100.0,3,40.426056587881256,-3.6687616933830647,Apartment,Entire home/apt,1.0,2.0,3.0,Real Bed,17,250.0,30.0,2,5,5,1125,71,16,strict,3,80.0,22.285714285714285,Salamanca,6
55,within an hour,100.0,5,40.42382623275573,-3.665086457696124,Apartment,Entire home/apt,1.0,1.0,2.0,Real Bed,18,183.0,80.0,2,15,5,360,68,2,strict,6,85.0,21.428571428571427,Salamanca,6
56,within a few hours,100.0,3,40.42372935193101,-3.666032968809468,Apartment,Private room,1.0,1.0,1.0,Real Bed,10,183.0,8.0,1,0,2,1125,80,24,moderate,4,39.0,22.428571428571427,Salamanca,2
57,within an hour,100.0,4,40.43429763258053,-3.6726072804860186,Apartment,Private room,1.0,1.0,1.0,Real Bed,8,183.0,30.0,1,7,2,7,25,3,flexible,3,18.0,21.571428571428573,Salamanca,2
58,within an hour,100.0,5,40.44252073220342,-3.673559038714501,Apartment,Entire home/apt,1.0,2.0,3.0,Real Bed,13,85.0,22.0,4,10,2,1125,242,1,moderate,3,70.0,22.857142857142858,Chamartín,3
59,within an hour,100.0,5,40.44469173236895,-3.673359960782026,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,18,200.0,10.0,1,0,2,6,48,14,moderate,3,65.0,22.285714285714285,Chamartín,5
60,within an hour,95.0,3,40.44938072460202,-3.6773492592371215,Apartment,Entire home/apt,1.5,3.0,6.0,Real Bed,17,183.0,65.0,4,15,4,1125,0,1,flexible,3,120.0,22.857142857142858,Chamartín,3
61,within a few hours,67.0,2,40.44786803788721,-3.670115033994493,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,13,183.0,10.0,1,0,2,6,43,0,flexible,4,37.0,21.257599200162016,Chamartín,5
62,within a few hours,100.0,4,40.44527249343043,-3.675422713509868,Apartment,Entire home/apt,3.0,3.0,5.0,Real Bed,18,90.0,30.0,4,20,2,1125,158,56,strict,2,136.0,21.571428571428573,Chamartín,4
63,within a day,89.0,4,40.456875620090536,-3.6797008742847366,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,19,100.0,30.0,1,0,2,7,82,2,moderate,3,75.0,22.714285714285715,Chamartín,4
64,within an hour,100.0,3,40.45751333631391,-3.673585662292033,Apartment,Private room,1.0,1.0,1.0,Real Bed,4,183.0,30.0,1,0,1,1125,156,1,flexible,3,33.0,22.857142857142858,Chamartín,0
65,within a day,100.0,4,40.45924809813289,-3.6754687649566136,Apartment,Entire home/apt,2.0,2.0,3.0,Real Bed,21,183.0,30.0,1,0,1,15,97,23,flexible,3,60.0,21.285714285714285,Chamartín,1
66,within an hour,95.0,3,40.47962824274172,-3.682475386477958,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,11,400.0,100.0,1,25,1,10,89,0,flexible,2,80.0,21.257599200162016,Chamartín,4
67,within an hour,90.0,4,40.47284831182743,-3.6852778946129794,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,26,150.0,20.0,2,8,2,1125,236,71,strict,5,50.0,21.714285714285715,Chamartín,2
68,within a few hours,100.0,4,40.45292649202429,-3.705280811695996,Apartment,Private room,1.0,1.0,1.0,Real Bed,11,183.0,30.0,1,0,1,1125,279,12,moderate,4,17.0,21.285714285714285,Tetuán,2
69,a few days or more,0.0,5,40.45386349667008,-3.703175226100309,Apartment,Private room,2.0,1.0,1.0,Real Bed,10,70.0,30.0,1,15,3,1125,281,0,flexible,4,22.0,21.257599200162016,Tetuán,7
70,within an hour,98.0,4,40.44969426588938,-3.705553682687379,Apartment,Entire home/apt,1.0,0.0,1.0,Real Bed,8,100.0,60.0,1,5,1,1125,334,0,moderate,5,25.0,21.257599200162016,Tetuán,3
71,within an hour,100.0,3,40.45584159160472,-3.6960472555624575,Other,Private room,1.0,1.0,2.0,Real Bed,14,183.0,30.0,1,20,1,1125,358,16,flexible,4,40.0,21.571428571428573,Tetuán,2
72,within an hour,92.0,7,40.45200784276226,-3.6940093587540006,Condominium,Entire home/apt,1.0,2.0,2.0,Real Bed,22,183.0,25.0,1,0,1,3,81,1,moderate,4,100.0,21.714285714285715,Tetuán,1
73,within an hour,100.0,4,40.38720236294332,-3.731189519381714,Apartment,Private room,1.0,1.0,1.0,Real Bed,4,183.0,30.0,1,0,2,1125,81,4,flexible,2,23.0,22.0,Carabanchel,1
84,within a few hours,100.0,3,40.38375249907562,-3.6497796933360274,House,Private room,2.0,1.0,5.0,Real Bed,7,183.0,20.0,1,15,5,1125,199,5,flexible,2,20.0,22.428571428571427,Puente de Vallecas,5
85,within a few hours,83.0,6,40.38411618061642,-3.670166552968442,Apartment,Private room,1.0,1.0,3.0,Real Bed,8,300.0,30.0,2,0,1,1125,161,2,strict,4,48.0,11.428571428571429,Puente de Vallecas,1
86,within an hour,95.0,1,40.39003497287789,-3.67068954955389,Other,Private room,2.0,1.0,1.0,Real Bed,12,183.0,30.0,1,0,1,1125,89,0,flexible,2,40.0,21.257599200162016,Puente de Vallecas,1
87,within an hour,100.0,3,40.3968809073421,-3.669204723208686,Apartment,Entire home/apt,1.0,1.0,3.0,Real Bed,13,150.0,35.0,2,10,2,1125,97,0,moderate,3,29.0,21.257599200162016,Puente de Vallecas,3
88,within an hour,100.0,5,40.39173502242152,-3.669350723853336,House,Private room,1.0,1.0,1.0,Real Bed,22,183.0,30.0,5,10,2,1125,210,22,moderate,4,35.0,21.857142857142858,Puente de Vallecas,5
89,within a day,100.0,3,40.38189183457917,-3.653540495832106,House,Entire home/apt,2.0,3.0,3.0,Real Bed,8,250.0,29.0,1,0,3,1125,311,0,moderate,3,79.0,21.257599200162016,Puente de Vallecas,2
90,within an hour,100.0,6,40.39221271621523,-3.6596011035997327,Apartment,Entire home/apt,1.0,1.0,2.0,Real Bed,26,199.0,18.0,2,10,5,31,106,52,strict,5,55.0,22.571428571428573,Puente de Vallecas,5
91,within an hour,95.0,6,40.38006969990068,-3.6542770318890727,Other,Private room,1.5,1.0,1.0,Real Bed,19,183.0,17.0,1,9,2,6,66,23,strict,6,16.0,22.0,Puente de Vallecas,5
95,within an hour,100.0,3,40.42618050774619,-3.691686093069735,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,18,183.0,15.0,1,0,3,1125,325,13,moderate,4,39.0,21.0,Chamberí,4
96,within an hour,100.0,4,40.43730603727622,-3.692725072064889,Apartment,Entire home/apt,2.0,4.0,4.0,Real Bed,14,150.0,50.0,2,20,2,1125,0,8,strict,4,185.0,20.571428571428573,Chamberí,5
97,within an hour,94.0,4,40.44002384670852,-3.6988529714804015,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,18,200.0,33.0,2,10,4,1125,314,15,moderate,6,100.0,20.142857142857142,Chamberí,6
98,within an hour,100.0,3,40.445604289556016,-3.6972218094324014,Apartment,Entire home/apt,3.0,4.0,6.0,Real Bed,15,183.0,30.0,1,0,5,1125,302,6,strict,3,320.0,21.142857142857142,Chamberí,1
103,within a few hours,100.0,5,40.42474504314654,-3.7130815277928426,Apartment,Shared room,1.0,1.0,10.0,Real Bed,6,183.0,30.0,1,15,1,1125,365,2,strict,4,11.0,22.714285714285715,Moncloa - Aravaca,1
104,within a few hours,100.0,5,40.42359130554613,-3.7117504087345936,Apartment,Shared room,1.0,1.0,10.0,Real Bed,6,183.0,30.0,1,15,1,1125,365,1,strict,4,11.0,13.714285714285714,Moncloa - Aravaca,1
105,within an hour,100.0,5,40.42354200799935,-3.712579031200917,Loft,Entire home/apt,1.0,0.0,1.0,Real Bed,13,183.0,5.0,1,0,2,1125,299,30,flexible,3,45.0,20.571428571428573,Moncloa - Aravaca,2
106,within a day,75.0,3,40.427940628029866,-3.7203908222002577,Apartment,Private room,1.0,1.0,1.0,Real Bed,7,183.0,30.0,1,0,30,1125,365,1,moderate,2,35.0,22.857142857142858,Moncloa - Aravaca,2
107,within an hour,95.0,3,40.43023385066289,-3.720618738151557,Apartment,Entire home/apt,1.0,2.0,2.0,Real Bed,9,183.0,30.0,1,0,1,1125,0,1,flexible,3,60.0,16.285714285714285,Moncloa - Aravaca,3
108,within a few hours,100.0,4,40.4304574517229,-3.7174644806606,Other,Entire home/apt,1.0,2.0,2.0,Real Bed,16,500.0,70.0,3,20,7,1125,244,1,flexible,3,95.0,22.857142857142858,Moncloa - Aravaca,7
109,within an hour,100.0,5,40.427593387727,-3.7156240777038327,Apartment,Entire home/apt,1.0,1.0,1.0,Real Bed,17,94.0,20.0,1,0,2,15,14,7,strict,3,55.0,21.428571428571427,Moncloa - Aravaca,2
110,within an hour,100.0,2,40.42050267974007,-3.7163698759937183,Apartment,Entire home/apt,2.0,2.0,2.0,Real Bed,13,200.0,36.0,1,0,2,1125,148,14,flexible,4,100.0,20.571428571428573,Moncloa - Aravaca,1
111,within a day,100.0,7,40.42411817764506,-3.713670826283792,Apartment,Private room,1.0,1.0,1.0,Real Bed,19,183.0,19.0,1,0,1,1125,96,42,strict,6,59.0,22.142857142857142,Moncloa - Aravaca,2
112,within an hour,100.0,3,40.42691786186623,-3.714341585079057,Apartment,Entire home/apt,3.0,3.0,5.0,Real Bed,20,183.0,60.0,2,20,2,1125,332,22,strict,4,90.0,22.285714285714285,Moncloa - Aravaca,2
115,within a day,100.0,4,40.42387297219467,-3.7257656870303153,Apartment,Entire home/apt,1.0,4.0,3.0,Real Bed,8,100.0,30.0,1,15,6,1125,161,0,flexible,3,50.0,21.257599200162016,Moncloa - Aravaca,6
116,within an hour,95.0,3,40.44719141930494,-3.717394832332404,Apartment,Entire home/apt,1.0,1.0,4.0,Real Bed,12,183.0,30.0,1,0,4,1125,0,0,flexible,3,95.0,21.257599200162016,Moncloa - Aravaca,2
117,within a day,67.0,4,40.449846780094944,-3.7134985145868606,Apartment,Private room,2.0,1.0,3.0,Real Bed,9,183.0,30.0,1,0,3,1125,217,9,flexible,2,21.0,20.428571428571427,Moncloa - Aravaca,3
